Address,City,State,Zip,AppraisalValue,sqft,beds,baths,yearbuilt,renoyear,DaysOnMarket,LastSaleDate,SalesDate,SaleType,Lat,Long
5808 NW 109th St,Oklahoma City,OK,,"$209,900 ","2,746 sqft (on 0.57 acres)",4.0,4.0,1977.0,,,,,"BANK OWNED
0.57 ACRES",,
5324 SE 134th St,Oklahoma City,OK,,"$399,900 ","4,918 sqft (on 5.02 acres)",3.0,5.0,2004.0,,,,,"BANK OWNED
5.02 ACRES",,
5900 Mosteller Dr #83,Oklahoma City,OK,,"$225,000 ","1,152 sqft",1.0,2.0,1960.0,,,,,AUCTION,,
5900 Mosteller Dr #143,Oklahoma City,OK,,"$225,000 ","1,152 sqft",1.0,2.0,1960.0,,,,,AUCTION,,
5900 Mosteller Dr #144,Oklahoma City,OK,,"$300,000 ","1,617 sqft",2.0,2.0,1960.0,,,,,AUCTION,,
5900 Mosteller Dr #43,Oklahoma City,OK,,"$200,000 ","1,152 sqft",1.0,2.0,1960.0,,,,,AUCTION,,
5900 Mosteller Dr #71,Oklahoma City,OK,,"$225,000 ","1,348 sqft",1.0,2.0,1960.0,,,,,AUCTION,,
5900 Mosteller Dr #93,Oklahoma City,OK,,"$225,000 ","1,152 sqft",1.0,2.0,1960.0,,,,,AUCTION,,
5900 Mosteller Dr #113,Oklahoma City,OK,,"$225,000 ","1,152 sqft",1.0,2.0,1960.0,,,,,AUCTION,,
5900 Mosteller Dr #53,Oklahoma City,OK,,"$200,000 ","1,152 sqft",1.0,2.0,1960.0,,,,,AUCTION,,
5900 Mosteller Dr #193,Oklahoma City,OK,,"$450,000 ","1,305 sqft",2.0,2.0,1960.0,,,,,AUCTION,,
5900 Mosteller Dr #33,Oklahoma City,OK,,"$200,000 ","1,152 sqft",1.0,2.0,1960.0,,,,,AUCTION,,
5900 Mosteller Dr #54,Oklahoma City,OK,,"$300,000 ","1,617 sqft",2.0,3.0,1960.0,,,,,AUCTION,,
5900 Mosteller Dr #63,Oklahoma City,OK,,"$200,000 ","1,152 sqft",1.0,2.0,1960.0,,,,,AUCTION,,
5900 Mosteller Dr #103,Oklahoma City,OK,,"$225,000 ","1,152 sqft",1.0,2.0,1960.0,,,,,AUCTION,,
5900 Mosteller Dr #51,Oklahoma City,OK,,"$200,000 ","1,348 sqft",1.0,2.0,1960.0,,,,,AUCTION,,
5900 Mosteller Dr #61,Oklahoma City,OK,,"$225,000 ","1,348 sqft",1.0,2.0,1960.0,,,,,AUCTION,,
5900 Mosteller Dr #41,Oklahoma City,OK,,"$200,000 ","1,348 sqft",1.0,2.0,1960.0,,,,,AUCTION,,
5900 Mosteller Dr #31,Oklahoma City,OK,,"$200,000 ","1,348 sqft",1.0,2.0,1960.0,,,,,AUCTION,,
540 Carpenter Trl,Arcadia,OK,,"$499,900 ","3,257 sqft (on 2.07 acres)",4.0,3.0,2020.0,,,,,"NEW - 2 DAYS AGO
BANK OWNED",,
3605 N Donna Ave,Bethany,OK,,"$105,900 ","1,128 sqft (on 0.34 acres)",2.0,2.0,1948.0,,,,,"BANK OWNED
0.34 ACRES",,
17061 Winding Creek Dr,Newalla,OK,,"$121,500 ","1,616 sqft (on 1.63 acres)",3.0,2.0,1983.0,,,,,"BANK OWNED
1.63 ACRES",,
NW 178th St,Piedmont,OK,,"$550,000 ",,,,,,,,,"BANK OWNED
12.15 ACRES",,
431 NW 47th St,Oklahoma City,OK,,Price Unknown,"1,258 sqft",3,1.0,1950.0,,,,,"NEW - 1 DAY AGO
AUCTION",,
4920 SE 58th Pl,Oklahoma City,OK,,Price Unknown,"2,234 sqft",4,2.0,1978.0,,,,,AUCTION,,
3037 N Zedna Dr,Oklahoma City,OK,,,"1,392 sqft",3,1.0,1955.0,,,,,BANK OWNED,,
8332 NW 110th Ter,Oklahoma City,OK,,Price Unknown,"1,956 sqft",3,2.0,1983.0,,,,,AUCTION,,
6404 Brentford Ter,Oklahoma City,OK,,Price Unknown,"2,753 sqft",5,3.0,1971.0,,,,,AUCTION,,
5916 SE 69th St,Oklahoma City,OK,,Price Unknown,"1,411 sqft",3,2.0,2004.0,,,,,AUCTION,,
2113 SW 68th St,Oklahoma City,OK,,Price Unknown,"1,081 sqft",3,1.0,1955.0,,,,,AUCTION,,
4201 NW 50th St,Oklahoma City,OK,,Price Unknown,"1,905 sqft (on 0.53 acres)",3,2.0,1964.0,,,,,"AUCTION
0.53 ACRES",,
