Address,City,State,Zip,AppraisalValue,sqft,beds,baths,yearbuilt,renoyear,DaysOnMarket,LastSaleDate,SalesDate,SaleType,Lat,Long
5925 SE 68TH ST,OKLAHOMA CITY,OK,,"115,000","1,555",3,2.0,2004.0,,,,11/4/2021,Sheriff,,
16716 COVINGTON MNR,OKLAHOMA CITY,OK,,"240,000",,100,,,,,,11/4/2021,Sheriff,,
620 SW 49TH ST,OKLAHOMA CITY,OK,,"80,000","1,103",3,1.0,1949.0,,,,11/4/2021,Sheriff,,
4920 SE 58TH PL,OKLAHOMA CITY,OK,,"125,000","2,234",4,2.0,1978.0,,,,11/4/2021,Sheriff,,
3024 OVERLAND DR,DEL CITY,OK,,"45,000","1,958",3,1.5,1964.0,1979.0,,,11/4/2021,Sheriff,,
5916 SE 69TH ST,OKLAHOMA CITY,OK,,"130,000","1,411",3,2.0,2004.0,,,,11/4/2021,Sheriff,,
7101 NW 20TH ST,BETHANY,OK,,"35,000",810,3,1.0,1964.0,,,,11/4/2021,Sheriff,,
16200 ROYAL CREST LN,OKLAHOMA CITY,OK,,"320,000",,100,,,,,,11/4/2021,Sheriff,,
1704 LEAWOOD DR,EDMOND,OK,,"210,000","2,133",4,2.0,1977.0,,,,11/4/2021,Sheriff,,
8332 NW 110TH TER,OKLAHOMA CITY,OK,,"150,000","1,956",3,2.0,1983.0,,,,11/4/2021,Sheriff,,
1028 SW 53RD ST,OKLAHOMA CITY,OK,,"80,000","1,574",3,1.0,1958.0,2008.0,,,11/4/2021,Sheriff,,
6025 NW 54TH ST,WARR ACRES,OK,,"16,000",,100,,,,,,11/4/2021,Sheriff,,
9317 APPLE DR,MIDWEST CITY,OK,,"165,000","1,883",3,2.0,2004.0,,,,11/4/2021,Sheriff,,
3801 OLD FOREST LN,OKLAHOMA CITY,OK,,"1,200,000","5,633",4,5.0,2006.0,,,,11/4/2021,Sheriff,,
4201 NW 50TH ST,OKLAHOMA CITY,OK,,"50,000","1,905",3,2.0,1964.0,,,,11/4/2021,Sheriff,,
4521 SE 80TH ST,OKLAHOMA CITY,OK,,"120,000","1,223",3,2.0,2006.0,,,,11/4/2021,Sheriff,,
800 NW 140TH ST,OKLAHOMA CITY,OK,,"120,000",,100,,,,,,11/4/2021,Sheriff,,
3037 N ZEDNA DR,OKLAHOMA CITY,OK,,"65,000","1,392",3,1.0,1955.0,,,,11/4/2021,Sheriff,,
