Price,Beds,Bath,Sqft,Address,City,State,Zip,Description
"$305,250 ",4bd,2ba,"1,850 sqft",17638 S Walnut St,Edmond,OK,73003,"This fantastic New Construction home in Deer Creek Schools will offer amazing features upon completion! Featuring a great room with a corner fireplace with a mantle, it also offers an open floor plan that looks directly into the kitchen that showcases a large island with a breakfast bar, corner pantry, and an abundance of counter space. The primary suite includes a private bathroom oasis with double vanities, a large walk-in closet, a deep soaker tub, and a luxurious walk-in shower."
"$283,470 ",3bd,2ba,"1,718 sqft",17656 S Walnut St,Edmond,OK,73003,"This gorgeous New Construction home in Deer Creek Schools will offer amazing features upon completion! Featuring a great room with a central fireplace with a wood mantle, it also offers an open floor plan that looks directly into the kitchen that showcases a large island with a breakfast bar, corner pantry, and an abundance of counter space. The primary suite includes a private bathroom oasis with double vanities, a large walk-in closet, a deep soaker tub, and a luxurious walk-in shower."
"$299,000 ",3bd,2ba,"2,329 sqft",406 Oregon Trl,Edmond,OK,73003,"THIS IS A TOTALLY CHARMING HOME ON A CORNER LOT IN A VERY POPULAR NEIGHBORHOOD. HAS A FORMAL DINING AREA THAT COULD ALSO BE A SECOND LIVING AREA. VERY COZY LIVING ROOM WITH NEW FLOORING, FIREPLACE AND PLANTATION SHUTTERS. THE KITCHEN HAS GRANITE COUNTERS, AND PLENTY OF CABINETS AND COUNTER SPACE WITH A GAS RANGE. THE MASTER BEDROOM HAS A LARGE ENSUITE THAT MAKES A PERFECT OFFICE OR FLEX SPACE THAT COULD BE FOR EXCERCISE EQUIPMENT OR HOWEVER YOU WOULD LIKE TO USE IT. THERE IS A COVERED PATIO THAT FACES TO THE SOUTH. IS WITHIN WALKING DISTANCE OF JOHN ROSS ELEMENTARY AND NORTH HIGH SCHOOL AND CLOSE TO MITCH PARK, UPTOWN GROCERY STORE AND MANY DINING OPPORTUNITIES. YOU WILL NOT WANT TO MISS THIS ONE !"
"$294,500 ",3bd,2ba,"2,406 sqft",2109 Del Simmons Dr,Edmond,OK,73003,"Your next real estate purchase should be for a home, not just a house. Located in a lovely gated community this 3BR/2.5BA home will catch you instantly with its curb appeal. Over 2400 sq ft with 2 living areas, 2 dining areas, a master bedroom with ample room for a home office, large kitchen with plenty of storage and dedicated pantry. Fresh paint in the master bathroom plus a remodeled walk-in shower. Privacy fenced backyard for your fall weather enjoyment. The community features: park, pool, clubhouse, multiple ponds great for fishing or leisure, sidewalks throughout the neighborhood and annual planned events around each season. Edmond North school district and HOA dues are only $385 annually! Come look before it is gone."
"$235,000 ",3bd,2ba,"1,546 sqft",201 W 10th St,Edmond,OK,73003,"Back on the market due to no fault of the seller-Check out this beautiful well kept home, just waiting for someone to come in and make give it their own personal touch. Located in a quiet neighborhood, and literally just minutes from the heart of Edmond and a very short drive to dining and shopping of Oklahoma City, and Chisolm Creek, you can get anywhere fast from this house. walk in to the beautiful open living area with high ceilings, that would make this a perfect place for entertaining, Enjoy having a cookout in the large back yard with a covered patio. Enjoy the privacy of the primary suite tucked away from the rest of the house with a huge closet and larger primary bathroom. Have family coming to stay? plenty of room in the secondary bedrooms, this is a must see home. Owner is offering America's Preferred Home Warranty with the sale of the property."
"$425,000 ",4bd,4ba,"3,161 sqft",3900 Low Mdw,Edmond,OK,73003,"WOW!!! WELCOME TO YOUR BACKYARD OASIS!! IF YOU LOVE TO ENTERTAIN, THIS IS IT! HEATED POOL WITH WATERFALL AND HOT TUB, PERGOLA, OUTDOOR KITCHEN, AND OUTDOOR FIREPLACE. This home is on a SECLUDED CUL-DE-SAC LOT ON A GREENBELT IN THE PRESTIGIOUS COFFEE CREEK NEIGHBORHOOD. Upon entering, you will find beautiful HAND SCRAPED FLOORS. The EXECUTIVE OFFICE has French doors and built-in desk. Enter the cozy living room with FIREPLACE, built-ins, and SURROUND SOUND. Kitchen with GRANITE and GAS COOK-TOP. Primary bedroom downstairs and 3 bedrooms upstairs; All are connected to a full bath. Spacious BONUS ROOM upstairs with built-ins, surround sound, and a BAR AND MINI-FRIDGE. Enter the backyard from the SUN ROOM and splash in your heated pool complete with OZONE CHLORINATION SYSTEM that makes for easy maintenance. DON'T MISS OUT!!!"
"$219,900 ",3bd,2ba,"1,309 sqft",815 Sunset Dr,Edmond,OK,73003,"Come and check out this completely renovated property located in the heart of Edmond! Home has the most adorable curb appeal with cedar post and a fantastic covered front porch! 3 Bedrooms, 1.1 baths, and 2 large size family rooms which are great for entertaining! Tons of storage in one of the family rooms that could make a great office or 4th bedroom if needed! Master features an en suite with half bath. Updates include new HVAC, electrical panel, and gutters. Interior has all new custom cabinets in both bathrooms and kitchen. In additional there is all new flooring throughout, quartz countertops, and stainless steel appliances! Entire house has new trim, paint and texture! Large size backyard which includes two storage sheds. Don't let this one get away!"
"$490,000 ",3bd,2ba,"2,192 sqft",16412 Loire West Dr,Edmond,OK,73013,"Ready Dec 2021 or Jan 2022 A revised Preston floor plan in Camden Park. Generous size living great outdoor living space/covered patio. Engineered Wood floors, irrigation, TREX fencing, full guttering, designer tiles/finishes. A private primary bedroom retreat is tucked away for extra privacy, generous size closet+linen/storage. The utility room connects to the master bath for convenience. A flex room is great for a 3rd bed/study or hobby room. Stairs from the garage lead to the attic for easy access to storage. Kitchen Aide appliances-gas range-built in oven/microwave are perfect for the chef & entertaining. This charming home has no wasted space & offers beautiful natural light. Camden Park's clubhouse has a resort style pool, fitness rm, large living/gather area, kitchen, coffee bar, covered outdoor living space, firepit, built in grill & is available for residents to reserve for their own personal use. Lawn care included in HOA."
"$369,900 ",4bd,3ba,"2,780 sqft",2724 Sunflower Dr,Edmond,OK,73013,"Beautiful 2 story home in the Hidden Prairie at Kelly Point III addition. This home has an open floor plan with 9” ceilings thru-out, fireplace in living room that's open to the kitchen. Large eating space. The office has beautiful double French doors with wood floors. The kitchen boasts granite countertops, stainless steel appliances, a pantry and a breakfast bar. 3 beds are down and one bedroom upstairs with a full bath, large walk in closet and the game room! The luxurious master suite is on the lower level and offers a double vanity, separate tub and shower and spacious walk-in closet. Inside utility room with storage. Covered front porch & covered patio and a large backyard. Community walking trails and ponds. Edmond Schools. Great location with easy access to the Kiilpatrick Turnpike, Broadway Extension & I35. Buyer to verify schools."
"$384,900 ",4bd,3ba,"2,235 sqft",1225 Nay Ave,Edmond,OK,73034,"One of the last new homes being built in Birnam Woods is ready for you. This spacious true 4 bedrooms home also includes a study. The private master bathroom features a soaking tub, dual vanities and walk in closet. Another en-suite bedroom with walk in closet is spacious. The additional secondary bedrooms are generous in size. The kitchen features a walk in pantry, eat around island and oversized dining space. Don't wait, make this one your home today!"
