Address,City,State,Zip,Value,Sqft,Beds,Baths,BuildYear,DateLastRemodel,DaysOnMarket,LastSaleDate,NextSaleDate,SourceType,Latitude,Longitude,Description
5808 NW 109th St,Oklahoma City,OK,73162,"$209,900 ","2,746 sqft (on 0.57 acres)",4,4,1977,,,,,"BANK OWNED
0.57 ACRES",35.58208,-97.61921,"Come see this freshly painted home with brand new carpet! Located just minutes away from Tinker and I-240, it is convenient to the city and all the amenities that surround you. This adorable home offers three bedrooms and two baths with a split floor plan. All bedrooms are very generous in size with great closets and plenty of storage space. The master bedroom is large enough for a king bed, a fantastic en suite bath offering double sinks, an open wall perfect for shelves and an amazing master closet. The main area is open to the living, kitchen and breakfast bar and dining room perfect for entertaining. Just off the kitchen is the laundry room with a wall of open shelves perfect for appliances and easy access to the groceries. The backyard offers a covered patio with a great yard perfect for games and running around. The garage offers a storm shelter and is deep with extra room for storage shelves or an extra refrigerator.This home is very clean and just waiting for its new owner!"
5324 SE 134th St,Oklahoma City,OK,73165,"$399,900 ","4,918 sqft (on 5.02 acres)",3,5,2004,,,,,"BANK OWNED
5.02 ACRES",35.334286,-97.42893,"Wonderful opportunity in SE OKC with acreage, pond view, gated access & more! This commanding presence on the prairie includes a circle front driveway, 3 car garage, pool, well, septic, OEC & propane option! This is a bank owned property & will not qualify for FHA or VA mortgages. Sold as-is, where-is, with no repairs to be completed by the Seller. Enjoy a commanding entry presence with an abundance of natural light, wet bar area, built-ins & pillared arches! Second living area with tray ceiling, french doors to patio & open concept to kitchen! Kitchen provides ample room to move, pantry & breakfast bar area! Study with built-ins by wet bar area & half bath! En suite includes a sitting area, his & her closets w/built-ins, garden tub & walk-in shower! Secondary beds w/private baths! Safe room located by kitchen & guest beds. Bonus over 3 car garage! Patio oasis with pool, kitchen, half bath & pond view! Bring your best offers & contractors to customize this into your dream home!"
5900 Mosteller Dr #83,Oklahoma City,OK,,"$225,000 ","1,152 sqft",1,2,1960,,,,,AUCTION,,,"Coming to auction this October in one of Oklahoma City's most well-known landmarks Founders Tower. HOA dues include water, basic cable, high-speed internet, and exterior building insurance. Located near Integris Hospital, restaurants, & shopping. 1, 152+/- sf 1BR 1.5BA condo unit with the Jefferson floor plan"
5900 Mosteller Dr #143,Oklahoma City,OK,,"$225,000 ","1,152 sqft",1,2,1960,,,,,AUCTION,,,"Coming to auction this October in one of Oklahoma City's most well-known landmarks Founders Tower. HOA dues include water, basic cable, high-speed internet, and exterior building insurance. Located near Integris Hospital, restaurants, & shopping. 1, 152+/- sf 1BR 1.5BA condo unit with the Jefferson floor plan"
5900 Mosteller Dr #144,Oklahoma City,OK,,"$300,000 ","1,617 sqft",2,2,1960,,,,,AUCTION,,,"Coming to auction this October in one of Oklahoma City's most well-known landmarks Founders Tower. HOA dues include water, basic cable, high-speed internet, and exterior building insurance. Located near Integris Hospital, restaurants, & shopping. 1, 152+/- sf 1BR 1.5BA condo unit with the Jefferson floor plan"
5900 Mosteller Dr #43,Oklahoma City,OK,,"$200,000 ","1,152 sqft",1,2,1960,,,,,AUCTION,,,"Coming to auction this October in one of Oklahoma City's most well-known landmarks Founders Tower. HOA dues include water, basic cable, high-speed internet, and exterior building insurance. Located near Integris Hospital, restaurants, & shopping. 1, 152+/- sf 1BR 1.5BA condo unit with the Jefferson floor plan"
5900 Mosteller Dr #71,Oklahoma City,OK,,"$225,000 ","1,348 sqft",1,2,1960,,,,,AUCTION,,,"Coming to auction this October in one of Oklahoma City's most well-known landmarks Founders Tower. HOA dues include water, basic cable, high-speed internet, and exterior building insurance. Located near Integris Hospital, restaurants, & shopping. 1, 152+/- sf 1BR 1.5BA condo unit with the Jefferson floor plan"
5900 Mosteller Dr #93,Oklahoma City,OK,,"$225,000 ","1,152 sqft",1,2,1960,,,,,AUCTION,,,"Coming to auction this October in one of Oklahoma City's most well-known landmarks Founders Tower. HOA dues include water, basic cable, high-speed internet, and exterior building insurance. Located near Integris Hospital, restaurants, & shopping. 1, 152+/- sf 1BR 1.5BA condo unit with the Jefferson floor plan"
5900 Mosteller Dr #113,Oklahoma City,OK,,"$225,000 ","1,152 sqft",1,2,1960,,,,,AUCTION,,,"Coming to auction this October in one of Oklahoma City's most well-known landmarks Founders Tower. HOA dues include water, basic cable, high-speed internet, and exterior building insurance. Located near Integris Hospital, restaurants, & shopping. 1, 152+/- sf 1BR 1.5BA condo unit with the Jefferson floor plan"
5900 Mosteller Dr #53,Oklahoma City,OK,,"$200,000 ","1,152 sqft",1,2,1960,,,,,AUCTION,,,"Coming to auction this October in one of Oklahoma City's most well-known landmarks Founders Tower. HOA dues include water, basic cable, high-speed internet, and exterior building insurance. Located near Integris Hospital, restaurants, & shopping. 1, 152+/- sf 1BR 1.5BA condo unit with the Jefferson floor plan"
