"word","sentiment"
"amen","positive"
"surround","positive"
"offer","positive"
"bath","positive"
"generous","positive"
"master","positive"
"king","positive"
"bath","positive"
"offer","positive"
"perfect","positive"
"master","positive"
"main","positive"
"breakfast","positive"
"perfect","positive"
"entertain","positive"
"perfect","positive"
"offer","positive"
"perfect","positive"
"offer","positive"
"shelter","positive"
"extra","positive"
"extra","positive"
"clean","positive"
"pool","positive"
"option","positive"
"enjoy","positive"
"breakfast","positive"
"bath","positive"
"garden","positive"
"bath","positive"
"safe","positive"
"bonus","positive"
"pool","positive"
"bath","positive"
"offer","positive"
"tower","positive"
"build","positive"
"tower","positive"
"build","positive"
"tower","positive"
"build","positive"
"tower","positive"
"build","positive"
"tower","positive"
"build","positive"
"tower","positive"
"build","positive"
"tower","positive"
"build","positive"
"tower","positive"
"build","positive"
"tower","positive"
"build","positive"
"tower","positive"
"build","positive"
"tower","positive"
"build","positive"
"tower","positive"
"build","positive"
"tower","positive"
"build","positive"
"tower","positive"
"build","positive"
"tower","positive"
"build","positive"
"tower","positive"
"build","positive"
"tower","positive"
"build","positive"
"build","positive"
"love","positive"
"surround","positive"
"lead","positive"
"option","positive"
"bath","positive"
"center","positive"
"center","positive"
"plumb","positive"
"fun","positive"
"build","positive"
"bath","positive"
"spacious","positive"
"eat","positive"
"build","positive"
"lead","positive"
"land","positive"
"bath","positive"
"convert","positive"
"convert","positive"
"shelter","positive"
"agreement","positive"
"veteran","positive"
"pay","positive"
"remodel","positive"
"bath","positive"
"perfect","positive"
"entertain","positive"
"perfect","positive"
"offer","positive"
"master","positive"
"remodel","positive"
"stainless","positive"
"plumb","positive"
"extra","positive"
"entertain","positive"
"breakfast","positive"
"master","positive"
"shelter","positive"
"build","positive"
"shelter","positive"
"bonus","positive"
"bath","positive"
"beam","positive"
"main","positive"
"gorgeous","positive"
"stainless","positive"
"bath","positive"
"bonus","positive"
"bath","positive"
"perfect","positive"
"shelter","positive"
"offer","positive"
"pool","positive"
"success","positive"
"bath","positive"
"visit","positive"
"save","positive"
"lead","positive"
"offer","positive"
"deal","positive"
"success","positive"
"bath","positive"
"visit","positive"
"save","positive"
"lead","positive"
"offer","positive"
"deal","positive"
"amen","positive"
"surround","positive"
"offer","positive"
"bath","positive"
"generous","positive"
"master","positive"
"king","positive"
"bath","positive"
"offer","positive"
"perfect","positive"
"master","positive"
"main","positive"
"breakfast","positive"
"perfect","positive"
"entertain","positive"
"perfect","positive"
"offer","positive"
"perfect","positive"
"offer","positive"
"shelter","positive"
"extra","positive"
"extra","positive"
"clean","positive"
"remodel","positive"
"bath","positive"
"perfect","positive"
"entertain","positive"
"breakfast","positive"
"clean","positive"
"bath","positive"
"clean","positive"
"amen","positive"
"extra","positive"
"success","positive"
"bath","positive"
"visit","positive"
"save","positive"
"lead","positive"
"offer","positive"
"deal","positive"
"saint","positive"
"saint","positive"
"success","positive"
"bath","positive"
"visit","positive"
"save","positive"
"lead","positive"
"offer","positive"
"deal","positive"
"offer","positive"
"public","positive"
"visit","positive"
"interior","positive"
"lead","positive"
"real","positive"
"focus","positive"
"major","positive"
"special","positive"
"found","positive"
"save","positive"
"bath","positive"
"extra","positive"
"shelter","positive"
"seal","positive"
"convert","positive"
"success","positive"
"bath","positive"
"visit","positive"
"save","positive"
"lead","positive"
"offer","positive"
"deal","positive"
"success","positive"
"bath","positive"
"visit","positive"
"save","positive"
"lead","positive"
"offer","positive"
"deal","positive"
"success","positive"
"bath","positive"
"visit","positive"
"save","positive"
"lead","positive"
"offer","positive"
"deal","positive"
"success","positive"
"bath","positive"
"visit","positive"
"save","positive"
"lead","positive"
"offer","positive"
"deal","positive"
"success","positive"
"bath","positive"
"visit","positive"
"save","positive"
"lead","positive"
"offer","positive"
"deal","positive"
"quiet","positive"
"remodel","positive"
"bonus","positive"
"master","positive"
"extra","positive"
"remodel","positive"
"success","positive"
"bath","positive"
"visit","positive"
"save","positive"
"lead","positive"
"offer","positive"
"deal","positive"
"main","positive"
"bath","positive"
"remodel","positive"
"oak","positive"
"spacious","positive"
"offer","positive"
"cute","positive"
"bath","positive"
"convert","positive"
"success","positive"
"bath","positive"
"visit","positive"
"save","positive"
"lead","positive"
"offer","positive"
"deal","positive"
"spacious","positive"
"quiet","positive"
"spacious","positive"
"master","positive"
"master","positive"
"king","positive"
"gorgeous","positive"
"success","positive"
"visit","positive"
"save","positive"
"lead","positive"
"offer","positive"
"deal","positive"
