"word","sentiment"
"amen","trust"
"generous","trust"
"perfect","trust"
"perfect","trust"
"perfect","trust"
"cover","trust"
"perfect","trust"
"shelter","trust"
"clean","trust"
"gate","trust"
"bank","trust"
"enjoy","trust"
"safe","trust"
"landmark","trust"
"landmark","trust"
"landmark","trust"
"landmark","trust"
"landmark","trust"
"landmark","trust"
"landmark","trust"
"landmark","trust"
"landmark","trust"
"landmark","trust"
"landmark","trust"
"landmark","trust"
"landmark","trust"
"landmark","trust"
"landmark","trust"
"landmark","trust"
"landmark","trust"
"center","trust"
"center","trust"
"system","trust"
"inform","trust"
"base","trust"
"cover","trust"
"ground","trust"
"shelter","trust"
"school","trust"
"inform","trust"
"agreement","trust"
"veteran","trust"
"pay","trust"
"perfect","trust"
"perfect","trust"
"cover","trust"
"system","trust"
"shelter","trust"
"shelter","trust"
"perfect","trust"
"system","trust"
"cover","trust"
"tandem","trust"
"ground","trust"
"shelter","trust"
"school","trust"
"bank","trust"
"save","trust"
"inform","trust"
"nation","trust"
"bank","trust"
"deal","trust"
"team","trust"
"bank","trust"
"save","trust"
"inform","trust"
"nation","trust"
"bank","trust"
"deal","trust"
"team","trust"
"amen","trust"
"generous","trust"
"perfect","trust"
"perfect","trust"
"perfect","trust"
"cover","trust"
"perfect","trust"
"shelter","trust"
"clean","trust"
"perfect","trust"
"clean","trust"
"clean","trust"
"amen","trust"
"school","trust"
"save","trust"
"inform","trust"
"nation","trust"
"bank","trust"
"deal","trust"
"team","trust"
"saint","trust"
"saint","trust"
"save","trust"
"inform","trust"
"nation","trust"
"bank","trust"
"deal","trust"
"team","trust"
"inform","trust"
"interior","trust"
"nation","trust"
"real","trust"
"bank","trust"
"found","trust"
"account","trust"
"save","trust"
"shelter","trust"
"seal","trust"
"save","trust"
"inform","trust"
"nation","trust"
"bank","trust"
"deal","trust"
"team","trust"
"save","trust"
"inform","trust"
"nation","trust"
"bank","trust"
"deal","trust"
"team","trust"
"save","trust"
"inform","trust"
"nation","trust"
"bank","trust"
"deal","trust"
"team","trust"
"save","trust"
"inform","trust"
"nation","trust"
"bank","trust"
"deal","trust"
"team","trust"
"save","trust"
"inform","trust"
"nation","trust"
"bank","trust"
"deal","trust"
"team","trust"
"school","trust"
"system","trust"
"gate","trust"
"save","trust"
"inform","trust"
"nation","trust"
"bank","trust"
"deal","trust"
"team","trust"
"save","trust"
"inform","trust"
"nation","trust"
"bank","trust"
"deal","trust"
"team","trust"
"system","trust"
"system","trust"
"save","trust"
"inform","trust"
"nation","trust"
"bank","trust"
"deal","trust"
"team","trust"
